tract,Name,Household_Income_at_Age_35_rNA_gM_p25
2020002301,"Sand Lake, Anchorage, AK",32726
40079040302,"Poteau, OK",32721
16009940000,"Plummer, ID",32678
40145030201,"Wagoner, OK",32632
40023967300,"Boswell, OK",32575
22109000800,"Houma, LA",32529
22109001300,"Houma, LA",32343
40097040501,"Locust Grove, OK",32332
40115574300,"Miami, OK",32328
40135030201,"Vian, OK",32202
48373210500,"Livingston, TX",32170
40143005500,"Skiatook, OK",32067
56013940300,"Riverton, WY",32063
40001376700,"Westville, OK",31947
40077087200,"Wilburton, OK",31895
40135030301,"Sallisaw, OK",31726
32001950500,"Fallon, NV",31717
40113940010,"Skiatook, OK",31634
40115574200,"Commerce, OK",31509
40101000300,"Muskogee, OK",31406
40143007617,"Burning Tree, Tulsa, OK",31374
2050000200,"Bethel, AK",31355
40039960600,"Weatherford, OK",31354
40069660200,"Tishomingo, OK",31147
40117957100,"Cleveland, OK",31118
40027202302,"Newalla, Oklahoma City, OK",31107
40005587900,"Lane, OK",31105
40143008200,"Layman/Van Acre, Tulsa, OK",31101
40111000500,"Okmulgee, OK",31069
40031002100,"Fletcher, OK",30896
37017950600,"Council, NC",30821
40097040800,"Adair, OK",30782
40145030602,"Coweta, OK",30698
40031002302,"Cache, OK",30656
40047001500,"Enid, OK",30613
40143007511,"Broken Arrow, OK",30580
6045011500,"Ukiah, CA",30486
40021977600,"Tahlequah, OK",30474
40023967100,"Hugo, OK",30417
40005587800,"Atoka, OK",30400
40123089300,"Ada, OK",30378
40113940002,"Pawhuska, OK",30369
35043011100,"Placitas, NM",30347
40021977700,"Hulbert, OK",30309
40143007308,"Lynn Lane, Tulsa, OK",30098
40131050701,"Chelsea, OK",30078
26097950400,"Saint Ignace, MI",30073
49037942000,"Montezuma Creek, UT",30040
40115574400,"Miami, OK",30035
22109000700,"Houma, LA",30016
40021978000,"Tahlequah, OK",29970
40089098500,"Broken Bow, OK",29896
40019892500,"Ardmore, OK",29873
40023967000,"Hugo, OK",29857
2188000200,"Kotzebue, AK",29774
40091780100,"Eufaula, OK",29716
40143007102,"Mingo Valley, Tulsa, OK",29696
40119011302,"Cushing, OK",29669
26013000200,"Baraga, MI",29633
40109107306,"Central Oklahoma City, Oklahoma City, OK",29618
40143002900,"Tulsa, OK",29615
40121486100,"McAlester, OK",29613
40133583800,"Konawa, OK",29602
40101000900,"Muskogee, OK",29558
30035976000,"Cut Bank, MT",29533
40131050604,"Claremore, OK",29526
40051000600,"Chickasha, OK",29425
37173940100,"Cherokee, NC",29400
2122000500,"Soldotna, AK",29366
40121485800,"Indianola, OK",29345
40101000801,"Muskogee, OK",29303
40109106707,"Northwest Oklahoma City, Oklahoma City, OK",29249
37155961000,"Lumberton, NC",29207
40135030202,"Vian, OK",29171
40063484900,"Holdenville, OK",29069
40019893000,"Ardmore, OK",29006
40111000200,"Okmulgee, OK",28963
40037021202,"Sapulpa, OK",28958
5007021101,"Siloam Springs, AR",28940
37155960502,"Pembroke, NC",28902
37155961301,"Lumberton, NC",28892
40143007702,"Glenpool, OK",28883
40111000800,"Henryetta, OK",28863
40145030102,"Wagoner, OK",28669
40021977900,"Tahlequah, OK",28651
40097040400,"Chouteau, OK",28635
35045000401,"Farmington, NM",28633
6107002700,"Springville, CA",28568
4005000600,"Flagstaff, AZ",28450
40101000700,"Muskogee, OK",28417
40079040299,"Spiro, OK",28367
38079951900,"Rolette, ND",28327
2016000100,"Aleutians West County, AK",28310
6073019106,"Valley Center, CA",28280
40013796001,"Durant, OK",28221
2220000200,"Sitka, AK",28181
35045000503,"Farmington, NM",28076
6073019101,"Valley Center, CA",28015
40143007801,"Bixby, OK",27924
40109107220,"Central Oklahoma City, Oklahoma City, OK",27916
40021978100,"Tahlequah, OK",27899
40035373400,"Vinita, OK",27864
40001376800,"Stilwell, OK",27858
40143004800,"Tulsa, OK",27843
40143006803,"South Peoria, Tulsa, OK",27777
40037020601,"Sapulpa, OK",27670
40115574500,"Miami, OK",27537
40115574700,"Miami, OK",27536
26033970200,"Sault Ste. Marie, MI",27528
40143009008,"Tulsa, OK",27482
27137015500,"Cook, MN",27453
40071001200,"Newkirk, OK",27447
40123088600,"Ada, OK",27393
40041976200,"Colcord, OK",27390
40037021000,"Bristow, OK",27375
37155962001,"Maxton, NC",27328
35045000610,"Aztec, NM",27281
40089098800,"Idabel, OK",27260
46101959700,"Flandreau, SD",27234
30085940001,"Wolf Point, MT",27209
40023966900,"Fort Towson, OK",27162
4005945200,"Tuba City, AZ",27155
4005942202,"Kaibito, AZ",27138
40027200300,"Norman, OK",27083
40101000802,"Muskogee, OK",27050
40125501101,"Shawnee, OK",27016
40079040700,"Whitesboro, OK",26979
53065941000,"Wellpinit, WA",26811
40097040200,"Pryor, OK",26782
4017942300,"Shonto, AZ",26742
40143004000,"Tulsa, OK",26729
40097040600,"Salina, OK",26700
38079941800,"Belcourt, ND",26685
1079979600,"Moulton, AL",26658
40135030401,"Gans, OK",26648
35031940500,"Zuni, NM",26645
40121486500,"McAlester, OK",26609
40143005900,"Tulsa, OK",26598
38035010300,"Grand Forks, ND",26538
40121486200,"McAlester, OK",26510
40021978300,"Park Hill, OK",26487
40035373500,"Vinita, OK",26475
40079040602,"Heavener, OK",26425
4001942600,"Dennehotso, AZ",26365
4017960100,"Holbrook, AZ",26343
40013796300,"Durant, OK",26260
40143007409,"Broken Arrow, OK",26226
40143001300,"United Neighborhood of Springdale, Tulsa, OK",26219
40143006703,"Jenks, OK",26140
38015010800,"Bismarck, ND",26132
40089098600,"Broken Bow, OK",26113
40143005801,"Owasso, OK",26099
37165010500,"Gibson, NC",26073
4005942201,"Page, AZ",26067
35001000713,"Singing Arrow, Albuquerque, NM",26030
40143004700,"Red Fork/Park Grove, Tulsa, OK",26026
40147000200,"Bartlesville, OK",26017
49037942100,"Oljato-Monument Valley, UT",26013
40131050202,"Claremore, OK",25977
40089098700,"Idabel, OK",25930
30047940303,"Polson, MT",25852
40001377000,"Stilwell, OK",25847
38079951700,"Dunseith, ND",25810
4005002100,"Page, AZ",25793
40019893100,"Ardmore, OK",25763
40021978201,"Tahlequah, OK",25712
40125500500,"Shawnee, OK",25699
37099940200,"Whittier, NC",25633
40041375801,"Cleora, OK",25619
40125500200,"Shawnee, OK",25609
40019892700,"Ardmore, OK",25597
55115100600,"Gresham, WI",25546
40143009402,"Sand Springs, OK",25532
26033970300,"Sault Ste. Marie, MI",25523
40143001200,"Crutchfield, Tulsa, OK",25475
40101000100,"Muskogee, OK",25434
37155962002,"Maxton, NC",25409
40125501001,"McLoud, OK",25308
40131050101,"Claremore, OK",25302
40041375900,"Eucha, OK",25301
2020001802,"Campbell Park, Anchorage, AK",25285
40143007641,"Tulsa, OK",25263
40107080600,"Okemah, OK",25244
40147000100,"Bartlesville, OK",25116
35031945700,"Vanderwagen, NM",25086
30047940301,"Polson, MT",25071
4005945000,"Tuba City, AZ",25011
30003940500,"Saint Xavier, MT",24924
2020002202,"Turnagain, Anchorage, AK",24923
40125500600,"Shawnee, OK",24861
40125500900,"Shawnee, OK",24807
40109107212,"South Oklahoma City, Oklahoma City, OK",24743
40109104900,"Central Oklahoma City, Oklahoma City, OK",24732
35045000505,"Kirtland, NM",24716
26013000100,"L'Anse, MI",24702
37155961700,"Fairmont, NC",24662
1079979300,"Town Creek, AL",24607
30047940500,"Ronan, MT",24572
53047940100,"Coulee Dam, WA",24560
40143007306,"Tulsa, OK",24523
40123089100,"Ada, OK",24503
9011701100,"Ledyard, CT",24493
40079040102,"Pocola, OK",24486
35045000608,"Farmington, NM",24408
40099790800,"Sulphur, OK",24399
26097950500,"Saint Ignace, MI",24259
35045943201,"Bloomfield, NM",24226
40131050702,"Chelsea, OK",24222
36009940300,"Salamanca, NY",24195
30013001600,"Great Falls, MT",24186
40125500400,"Shawnee, OK",24155
4001944901,"Ganado, AZ",24139
40143005300,"Tulsa, OK",24048
4005000400,"Flagstaff, AZ",24042
40111000600,"Beggs, OK",24017
40107080900,"Okemah, OK",23963
35006974201,"Grants, NM",23948
40079040601,"Heavener, OK",23943
40037021400,"Sapulpa, OK",23930
40109104800,"Central Oklahoma City, Oklahoma City, OK",23921
2122000600,"Kenai, AK",23897
40133583900,"Wewoka, OK",23849
2130000300,"Ketchikan, AK",23832
4013111300,"Camelback East Village, Phoenix, AZ",23818
2090001900,"Fairbanks, AK",23816
20085082800,"Mayetta, KS",23802
40027202402,"Norman, OK",23767
6045010700,"Willits, CA",23682
35031945500,"Gallup, NM",23670
40079040303,"Spiro, OK",23642
35045000707,"Bloomfield, NM",23633
27029000200,"Bagley, MN",23608
40135030101,"Sallisaw, OK",23606
2020002302,"Sand Lake, Anchorage, AK",23557
40091779600,"Checotah, OK",23425
37155961500,"Lumberton, NC",23417
40143009401,"Sand Springs, OK",23417
27017940000,"Cloquet, MN",23361
6027000400,"Bishop, CA",23322
40123089200,"Ada, OK",23313
40111000300,"Okmulgee, OK",23293
4013318800,"Sunset, Tempe, AZ",23240
2185000100,"Utqiagvik, AK",23231
40143007608,"South Peoria, Tulsa, OK",23220
40147000800,"Bartlesville, OK",23217
30073977200,"Valier, MT",23178
53061940001,"Tulalip, WA",23122
4012940200,"Parker, AZ",23103
4017960400,"Winslow, AZ",23095
40001376600,"Watts, OK",22981
40131050801,"Oologah, OK",22968
40143000300,"Louisville Heights, Tulsa, OK",22960
2020001801,"Campbell Park, Anchorage, AK",22931
40041376000,"Jay, OK",22844
35045000205,"Farmington, NM",22844
55115100500,"Shawano, WI",22786
46041941700,"Dewey County, SD",22683
40041376100,"Kansas, OK",22625
40001376900,"Stilwell, OK",22599
40081961400,"Meeker, OK",22493
35001000604,"La Mesa, Albuquerque, NM",22454
4001944902,"Ganado, AZ",22436
40145030402,"Broken Arrow, OK",22430
40071000201,"Ponca City, OK",22419
40127097700,"Antlers, OK",22392
2020000702,"Northeast Anchorage, Anchorage, AK",22343
35045942802,"Shiprock, NM",22287
37083930800,"Hollister, NC",22205
20013480600,"Hiawatha, KS",22198
46103010200,"Rapid City, SD",22179
4001944201,"Chinle, AZ",22178
31045950700,"Chadron, NE",22079
6023940000,"Hoopa, CA",22038
2198000200,"Klawock, AK",22024
40123088900,"Ada, OK",22019
37155960102,"Saint Pauls, NC",22012
37155960600,"Lumberton, NC",22009
40017300500,"El Reno, OK",21910
37093970401,"Lumber Bridge, NC",21908
40143007304,"Tulsa, OK",21880
40103956600,"Red Rock, OK",21873
37155960702,"Lumberton, NC",21859
4005000300,"Flagstaff, AZ",21820
40027201301,"Norman, OK",21820
40115574100,"Quapaw, OK",21789
40145030405,"Broken Arrow, OK",21782
45091061202,"Rock Hill, SC",21780
35031943500,"Crownpoint, NM",21775
4017942500,"Kayenta, AZ",21660
40019892800,"Ardmore, OK",21635
40143009300,"Sand Springs, OK",21563
41053020400,"Sheridan, OR",21533
40109106913,"Briarwood Estates, Oklahoma City, OK",21520
4001945001,"Saint Michaels, AZ",21486
37155960701,"Lumberton, NC",21476
37155960401,"Maxton, NC",21442
4013106701,"Alhambra, Phoenix, AZ",21434
40039960400,"Clinton, OK",21420
55003940000,"Ashland, WI",21412
40111000100,"Okmulgee, OK",21401
37155960503,"Pembroke, NC",21391
40091779900,"Checotah, OK",21388
37155961802,"Fairmont, NC",21372
4001944300,"Chinle, AZ",21354
2020001601,"Airport Heights Community Council, Anchorage, AK",21340
40013795600,"Bennington, OK",21271
40133583400,"Seminole, OK",21249
40071000400,"Ponca City, OK",21210
37155960300,"Red Springs, NC",21184
4015940400,"Peach Springs, AZ",21182
40125500700,"Shawnee, OK",21164
30003000100,"Hardin, MT",21133
55009000200,"Green Bay, WI",21123
49047940201,"Fort Duchesne, UT",21113
53077940006,"Toppenish, WA",21096
35001003714,"Del Norte, Albuquerque, NM",21067
2020001400,"North Star, Anchorage, AK",21055
40143001900,"Turner Park, Tulsa, OK",21036
26033970600,"Brimley, MI",20931
35045943100,"Tohatchi, NM",20919
40101000600,"Muskogee, OK",20900
2020001732,"Scenic Foothills, Anchorage, AK",20894
40143000100,"Dawson, Tulsa, OK",20885
46065977700,"Pierre, SD",20876
46065978000,"Pierre, SD",20845
4017940008,"Kykotsmovi Village, AZ",20832
2020000202,"Eagle River, Anchorage, AK",20825
2164000100,"King Salmon, AK",20811
4013107400,"Alhambra, Phoenix, AZ",20804
40027201604,"Moore, OK",20785
53067012320,"Olympia, WA",20762
4001942700,"Teec Nos Pos, AZ",20738
37155961801,"Rowland, NC",20715
4005001102,"Flagstaff, AZ",20669
4013941200,"Fort McDowell, AZ",20662
40143000400,"United Neighborhood of Springdale, Tulsa, OK",20631
2020002712,"Bayshore / Klatt, Anchorage, AK",20591
38085940800,"Solen, ND",20587
28101050300,"Decatur, MS",20532
35045000607,"Farmington, NM",20510
40123089000,"Ada, OK",20477
37155960402,"Pembroke, NC",20337
2090000800,"Fairbanks, AK",20287
40031000501,"Lawton, OK",20209
35045943000,"Kirtland, NM",20203
37093970202,"Raeford, NC",20147
6015000105,"Crescent City, CA",20116
37155961900,"Rowland, NC",20099
4013320002,"East Guadalupe, Guadalupe, AZ",20087
53053062000,"Eastside, Tacoma, WA",20077
40123088800,"Ada, OK",20059
40143006000,"McKinley, Tulsa, OK",20020
35045942900,"Newcomb, NM",20005
2130000200,"Ketchikan, AK",20004
40109100200,"Central Oklahoma City, Oklahoma City, OK",19967
35045000402,"Farmington, NM",19959
45069960400,"McColl, SC",19954
40031000502,"Lawton, OK",19949
49053270700,"St. George, UT",19945
2110000400,"Juneau, AK",19940
40109107302,"Central Oklahoma City, Oklahoma City, OK",19938
40143001400,"Kendall-Whittier, Tulsa, OK",19908
35001000603,"La Mesa, Albuquerque, NM",19896
2090000700,"Fairbanks, AK",19890
40111000902,"Henryetta, OK",19883
40109107216,"Central Oklahoma City, Oklahoma City, OK",19847
30111001000,"Central - Terry, Billings, MT",19837
40143001500,"Sequoyah, Tulsa, OK",19800
46065977900,"Pierre, SD",19792
30003940600,"Crow Agency, MT",19735
40109105600,"Central Oklahoma City, Oklahoma City, OK",19733
40071001100,"Tonkawa, OK",19697
35001003400,"Alta Monte, Albuquerque, NM",19670
55009000800,"Green Bay, WI",19599
4013422103,"Mesa, AZ",19592
55007960100,"Bayfield, WI",19495
40109107215,"Central Oklahoma City, Oklahoma City, OK",19459
40097040502,"Locust Grove, OK",19425
40121486400,"McAlester, OK",19416
30035940400,"Browning, MT",19395
40071001301,"Blackwell, OK",19348
35031943800,"Nakaibito, NM",19344
35031943901,"Gallup, NM",19341
37093970402,"Red Springs, NC",19328
35001000502,"Nob Hill, Albuquerque, NM",19327
28099010600,"Philadelphia, MS",19323
40091780200,"Eufaula, OK",19272
30111000300,"South Side, Billings, MT",19240
53077940005,"Toppenish, WA",19221
28099940100,"Philadelphia, MS",19195
46123971700,"Winner, SD",19190
4001944000,"Fort Defiance, AZ",19163
35045942801,"Shiprock, NM",19163
37165010600,"Wagram, NC",19134
4001945002,"Houck, AZ",19132
40109106915,"Central Oklahoma City, Oklahoma City, OK",19120
40023967200,"Hugo, OK",19074
40143008900,"Mile-Wide, Tulsa, OK",19060
32031940200,"Nixon, NV",19029
40091779700,"Checotah, OK",18838
40133583500,"Seminole, OK",18836
4005000500,"Flagstaff, AZ",18804
53053940007,"Eastside, Tacoma, WA",18706
40021978202,"Cookson, OK",18680
4017940010,"Pinon, AZ",18660
53053063300,"Eastside, Tacoma, WA",18568
4001944202,"Chinle, AZ",18566
40143001600,"Maplewood, Tulsa, OK",18529
30005940100,"Harlem, MT",18528
35045000301,"Farmington, NM",18515
41035971600,"Klamath Falls, OR",18511
2090000600,"Fairbanks, AK",18495
4013113700,"Camelback East Village, Phoenix, AZ",18486
16069940000,"Lapwai, ID",18485
2020002303,"Sand Lake, Anchorage, AK",18481
40143009006,"Tulsa, OK",18478
35035940000,"Mescalero, NM",18427
46103010600,"Rapid City, SD",18386
53033030801,"Auburn, WA",18383
4017940014,"Ganado, AZ",18376
35006946100,"Cibola County, NM",18298
4017960200,"Holbrook, AZ",18274
26033970900,"Kincheloe, Kinross Charter Township, MI",18270
4005945100,"Leupp, AZ",18254
40143002301,"Kendall-Whittier, Tulsa, OK",18215
40017300202,"El Reno, OK",18193
40015162100,"Anadarko, OK",18170
40145030101,"Wagoner, OK",18160
37165010300,"Laurinburg, NC",18116
40131050303,"Claremore, OK",18057
30041040300,"Havre, MT",18053
20045000200,"Brook Creek, Lawrence, KS",17931
40131050409,"Catoosa, OK",17925
4007940400,"San Carlos, AZ",17922
40027200601,"Norman, OK",17918
40125500301,"Shawnee, OK",17813
35031944000,"Crownpoint, NM",17805
35031940300,"Zuni, NM",17805
4001944100,"Lukachukai, AZ",17764
40133583600,"Wewoka, OK",17728
40109107001,"Central Oklahoma City, Oklahoma City, OK",17683
40017300300,"El Reno, OK",17674
35001002402,"West Mesa, Albuquerque, NM",17629
55078940102,"Keshena, WI",17604
35031945600,"Gallup, NM",17590
53077940001,"Wapato, WA",17584
40125500302,"Shawnee, OK",17579
30013000300,"Great Falls, MT",17569
40109107104,"Central Oklahoma City, Oklahoma City, OK",17535
46085940100,"Lower Brule, SD",17496
2020000802,"Russian Jack Park, Anchorage, AK",17454
53033031202,"Auburn, WA",17436
40063484600,"Wetumka, OK",17435
53035090101,"Kingston, WA",17361
4017940015,"Winslow, AZ",17353
35031943600,"Church Rock, NM",17331
4013109002,"Alhambra, Phoenix, AZ",17329
4019941000,"Pascua Pueblo, Tucson, AZ",17306
35006945800,"Ramah, NM",17281
2290000100,"Fort Yukon, AK",17259
35045000204,"Farmington, NM",17242
30013010800,"Great Falls, MT",17206
30003940700,"Lodge Grass, MT",17176
55115100400,"Shawano, WI",17154
40111000400,"Okmulgee, OK",17118
40109107219,"Central Oklahoma City, Oklahoma City, OK",17105
35043011200,"Ponderosa, NM",17104
35039941000,"Dulce, NM",17099
37155961100,"Lumberton, NC",17091
30013000800,"Great Falls, MT",17082
53061940002,"Tulalip, WA",17082
37155960202,"Red Springs, NC",17039
4017942400,"Kayenta, AZ",16964
40109107209,"Central Oklahoma City, Oklahoma City, OK",16950
53077940004,"Wapato, WA",16894
46103011100,"Rapid City, SD",16891
46013951600,"Aberdeen, SD",16866
56013940202,"Arapahoe, WY",16845
28099010100,"Philadelphia, MS",16841
4017940011,"Pinon, AZ",16809
40005587700,"Atoka, OK",16799
2110000600,"West Juneau, Juneau, AK",16787
30085940002,"Poplar, MT",16756
4005001301,"Flagstaff, AZ",16743
28079040400,"Walnut Grove, MS",16743
40031001700,"Lawton, OK",16683
46017940200,"Chamberlain, SD",16641
40017301407,"Southwest Oklahoma City, Mustang, OK",16621
35031945200,"Gallup, NM",16602
40135030104,"Muldrow, OK",16587
2020001900,"Midtown, Anchorage, AK",16557
35045000100,"Farmington, NM",16551
4017960600,"Winslow, AZ",16521
27115950400,"Sandstone, MN",16516
37155961602,"Fairmont, NC",16514
38071957800,"Devils Lake, ND",16498
40147000900,"Bartlesville, OK",16488
8083969400,"Cortez, CO",16486
55113940000,"Hayward, WI",16469
40143007312,"Tulsa, OK",16406
55009000500,"Green Bay, WI",16393
27021940002,"Cass Lake, MN",16366
40015161800,"Carnegie, OK",16352
2020002100,"Spenard, Anchorage, AK",16320
2020002811,"Abbott Loop, Anchorage, AK",16279
35006941500,"Acoma Pueblo, NM",16273
30047940400,"Ronan, MT",16268
40109107213,"Central Oklahoma City, Oklahoma City, OK",16256
37155961302,"Lumberton, NC",16242
40037021300,"Sapulpa, OK",16229
46103010400,"Rapid City, SD",16163
27087940300,"Mahnomen, MN",16150
55009000100,"Green Bay, WI",16141
4013110701,"Encanto Village, Phoenix, AZ",16135
55009940003,"Green Bay, WI",16126
2290000300,"Yukon-Koyukuk County, AK",16120
40031002200,"Lawton, OK",16054
2020000901,"Airport Heights Community Council, Anchorage, AK",16037
46065977800,"Pierre, SD",16032
40033871100,"Walters, OK",16030
4009940500,"Bylas, AZ",15944
46113940800,"Pine Ridge, SD",15887
40143007510,"Broken Arrow, OK",15835
46109940400,"Sisseton, SD",15792
27005940000,"Ogema, MN",15784
32007951700,"Jarbidge, NV",15782
40027202005,"Moore, OK",15724
35001000903,"South San Pedro, Albuquerque, NM",15722
37155960501,"Pembroke, NC",15718
40109105500,"Central Oklahoma City, Oklahoma City, OK",15714
4013941000,"Maricopa County, AZ",15704
40071000100,"Ponca City, OK",15663
55087940000,"Oneida, Oneida, WI",15608
40117957200,"Cleveland, OK",15560
4013117000,"Encanto Village, Phoenix, AZ",15557
2220000100,"Sitka, AK",15533
4017940302,"Whiteriver, AZ",15524
2290000200,"Minto, AK",15509
30003940400,"Lame Deer, MT",15501
40015162000,"Anadarko, OK",15478
46103010300,"Rapid City, SD",15473
4013420501,"N. Center Revitilization Association, Mesa, AZ",15465
35031945400,"Gallup, NM",15380
41059940000,"Pendleton, OR",15364
36063940001,"Sanborn, NY",15229
4013108601,"Encanto Village, Phoenix, AZ",15211
56013940100,"Fort Washakie, WY",15147
30087940400,"Lame Deer, MT",15145
35001001200,"Clayton Heights-Lomas Del Cielo, Albuquerque, NM",15127
35001000901,"Trumbull Village, Albuquerque, NM",15075
4005944900,"Tuba City, AZ",15033
55078940101,"Keshena, WI",14998
53033031100,"Auburn, WA",14991
30035940200,"Browning, MT",14965
2020001000,"Fairview, Anchorage, AK",14930
27007450701,"Bemidji, MN",14919
4013109001,"Alhambra, Phoenix, AZ",14894
4017940013,"Keams Canyon, AZ",14862
38015010200,"Bismarck, ND",14794
30041940300,"Box Elder, MT",14781
46103010906,"Rapid City, SD",14767
4017940100,"Cibecue, AZ",14709
2020002603,"Abbott Loop, Anchorage, AK",14703
4013110801,"Camelback East Village, Phoenix, AZ",14629
40071000500,"Ponca City, OK",14571
35043940700,"Algodones, NM",14560
35039940800,"Española, NM",14545
53073940000,"Bellingham, WA",14479
2070000100,"Dillingham, AK",14472
53047940200,"Okanogan, WA",14454
37155961400,"Lumberton, NC",14414
31043010100,"South Sioux City, NE",14405
46103010500,"Rapid City, SD",14385
40143009104,"Tulsa, OK",14372
27053108700,"Corcoran, Minneapolis, MN",14368
37165010400,"Laurinburg, NC",14349
19171290500,"Tama, IA",14321
35031946000,"Thoreau, NM",14260
40143002100,"Tulsa, OK",14212
35031943700,"Brimhall Nizhoni, NM",14190
30063000201,"Westside, Missoula, MT",14185
35031943902,"Gallup, NM",14162
35045942803,"Shiprock, NM",14145
40109102400,"Central Oklahoma City, Oklahoma City, OK",14114
46109940800,"Peever, SD",14103
4013108400,"Camelback East Village, Phoenix, AZ",14099
27061940000,"Deer River, MN",13999
4013108602,"Camelback East Village, Phoenix, AZ",13978
4019940700,"Pisinemo, AZ",13891
46041941500,"Eagle Butte, SD",13878
2020000701,"Northeast Anchorage, Anchorage, AK",13856
2110000200,"Mendenhall Valley, Juneau, AK",13818
19193001500,"Sioux City, IA",13787
35043940200,"Kewa Pueblo, NM",13728
